unno,var,nameRID,ClassRID,CCodeRID,pgRID,LabRID,spRID,lqRID,eqRID,piRID,ppRID,MixRID,tiRID,tpRID,trRID,sptRID,catRID,sppRID,spbRID,splRID,colisRID,hinRID,qdt
2735,b,"POLYAMINES, LIQUID, CORROSIVE, N.O.S.",8,C7,I,8,274,0,E0,P001,,MP8 MP17,T14,TP2 TP27,L10BH,TU38 TE22,1,,,,,88,
2735,c,"AMINES, LIQUID, CORROSIVE, N.O.S.",8,C7,II,8,274,1 L,E2,P001 IBC02,,MP15,T11,TP1 TP27,L4BN,,2,,,,CE6,80,
2735,d,"POLYAMINES, LIQUID, CORROSIVE, N.O.S.",8,C7,II,8,274,1 L,E2,P001 IBC02,,MP15,T11,TP1 TP27,L4BN,,2,,,,CE6,80,
2735,e,"AMINES, LIQUID, CORROSIVE, N.O.S.",8,C7,III,8,274,5 L,E1,P001 IBC03 LP01 R001,,MP19,T7,TP1 TP28,L4BN,,3,W12,,,CE8,80,
2735,f,"POLYAMINES, LIQUID, CORROSIVE, N.O.S.",8,C7,III,8,274,5 L,E1,P001 IBC03 LP01 R001,,MP19,T7,TP1 TP28,L4BN,,3,W12,,,CE8,80,
2738,,N-BUTYLANILINE,6.1,T1,II,6.1,,100 mL,E4,P001 IBC02,,MP15,T7,TP2,L4BH,TU15,2,,,CW13 CW28 CW31,CE5,60,
2739,,BUTYRIC ANHYDRIDE,8,C3,III,8,,5 L,E1,P001 IBC03 LP01 R001,,MP19,T4,TP1,L4BN,,3,W12,,,CE8,80,
2740,,n-PROPYL CHLOROFORMATE,6.1,TFC,I,6.1+3+8,,0,E0,P602,,MP8 MP17,T20,TP2,L10CH,TU14 TU15 TU38 TE21 TE22,1,,,CW13 CW28 CW31,,668,
2741,,BARIUM HYPOCHLORITE,5.1,OT2,II,5.1+6.1,,1 kg,E2,P002 IBC08,B4,MP2,T3,TP33,SGAN,TU3,2,W11,,CW24 CW28,CE10,56,with more than 22% available chlorine
2742,,"CHLOROFORMATES, TOXIC, CORROSIVE, FLAMMABLE, N.O.S.",6.1,TFC,II,6.1+3+8,274 561,100 mL,E4,P001 IBC01,,MP15,,,L4BH,TU15,2,,,CW13 CW28 CW31,CE5,638,
2743,,n-BUTYL CHLOROFORMATE,6.1,TFC,II,6.1+3+8,,100 mL,E0,P001,,MP15,T20,TP2,L4BH,TU15,2,,,CW13 CW28 CW31,CE5,638,
2744,,CYCLOBUTYL CHLOROFORMATE,6.1,TFC,II,6.1+3+8,,100 mL,E4,P001 IBC01,,MP15,T7,TP2,L4BH,TU15,2,,,CW13 CW28 CW31,CE5,638,
2745,,CHLOROMETHYL CHLOROFORMATE,6.1,TC1,II,6.1+8,,100 mL,E4,P001 IBC02,,MP15,T7,TP2,L4BH,TU15,2,,,CW13 CW28 CW31,CE5,68,
2746,,PHENYL CHLOROFORMATE,6.1,TC1,II,6.1+8,,100 mL,E4,P001 IBC02,,MP15,T7,TP2,L4BH,TU15,2,,,CW13 CW28 CW31,CE5,68,
2747,,tert-BUTYLCYCLOHEXYL CHLOROFORMATE,6.1,T1,III,6.1,,5 L,E1,P001 IBC03 LP01 R001,,MP19,T4,TP1,L4BH,TU15,2,W12,,CW13 CW28 CW31,CE8,60,
2748,,2-ETHYLHEXYL CHLOROFORMATE,6.1,TC1,II,6.1+8,,100 mL,E4,P001 IBC02,,MP15,T7,TP2,L4BH,TU15,2,,,CW13 CW28 CW31,CE5,68,
2749,,TETRAMETHYLSILANE,3,F1,I,3,,0,E0,P001,,MP7 MP17,T14,TP2,L4BN,,1,,,,,33,
2750,,"1,3-DICHLOROPROPANOL-2",6.1,T1,II,6.1,,100 mL,E4,P001 IBC02,,MP15,T7,TP2,L4BH,TU15,2,,,CW13 CW28 CW31,CE5,60,
2751,,DIETHYLTHIOPHOSPHORYL CHLORIDE,8,C3,II,8,,1 L,E2,P001 IBC02,,MP15,T7,TP2,L4BN,,2,,,,CE6,80,
2752,,"1,2-EPOXY-3-ETHOXYPROPANE",3,F1,III,3,,5 L,E1,P001 IBC03 LP01 R001,,MP19,T2,TP1,LGBF,,3,W12,,,CE4,30,
2753,,"N-ETHYLBENZYLTOLUIDINES, LIQUID",6.1,T1,III,6.1,,5 L,E1,P001 IBC03 LP01 R001,,MP19,T7,TP1,L4BH,TU15,2,W12,,CW13 CW28 CW31,CE8,60,
2754,,N-ETHYLTOLUIDINES,6.1,T1,II,6.1,,100 mL,E4,P001 IBC02,,MP15,T7,TP2,L4BH,TU15,2,,,CW13 CW28 CW31,CE5,60,
