04011010,NZ,20201231,20200101,,0000000000,QUOTA
04011010,NZ,20201231,20200101,0001400000,,
04011020,NZ,20201231,20200101,,0000000000,QUOTA
04011020,NZ,20201231,20200101,0001400000,,
04012010,NZ,20201231,20200101,,0000000000,QUOTA
04012010,NZ,20201231,20200101,0001400000,,
04012020,NZ,20201231,20200101,,0000000000,QUOTA
04012020,NZ,20201231,20200101,0001400000,,
04014010,NZ,20201231,20200101,,0000000000,QUOTA
04014010,NZ,20201231,20200101,0001400000,,
04014020,NZ,20201231,20200101,,0000000000,QUOTA
04014020,NZ,20201231,20200101,0001400000,,
04015010,NZ,20201231,20200101,,0000000000,QUOTA
04015010,NZ,20201231,20200101,0001400000,,
04015020,NZ,20201231,20200101,,0000000000,QUOTA
04015020,NZ,20201231,20200101,0001400000,,
05079020,NZ,20200901,20200101,,0000000000,QUOTA
05079020,NZ,20200901,20200101,,0000400000,
